query,regime,nominal_concentration_M,world,withheld_reference_percent,mean_across_worlds_percent,sample_sd_across_worlds_percent,n_worlds,source_observation_min_percent,source_observation_max_percent,minimum_source_assay_concentration_M
Q01,Other nine,0.014999999999999998,W01,8.61680656671524,7.8186130076646805,0.4852425678468798,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q01,Other nine,0.014999999999999998,W02,7.906392365694045,7.8186130076646805,0.4852425678468798,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q01,Other nine,0.014999999999999998,W03,7.505308985710143,7.8186130076646805,0.4852425678468798,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q01,Other nine,0.014999999999999998,W04,7.664356157183646,7.8186130076646805,0.4852425678468798,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q01,Other nine,0.014999999999999998,W05,7.400200963020325,7.8186130076646805,0.4852425678468798,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q02,Other nine,0.014999999999999998,W01,8.584973365068436,8.017282247543335,0.39655391115572275,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q02,Other nine,0.014999999999999998,W02,8.081925213336945,8.017282247543335,0.39655391115572275,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q02,Other nine,0.014999999999999998,W03,7.837878167629242,8.017282247543335,0.39655391115572275,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q02,Other nine,0.014999999999999998,W04,8.080480396747589,8.017282247543335,0.39655391115572275,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q02,Other nine,0.014999999999999998,W05,7.5011540949344635,8.017282247543335,0.39655391115572275,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q03,Dilute three,0.00013333333333333334,W01,36.34855926036835,27.41885370016098,6.588241945819833,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q03,Dilute three,0.00013333333333333334,W02,31.07993721961975,27.41885370016098,6.588241945819833,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q03,Dilute three,0.00013333333333333334,W03,27.09691047668457,27.41885370016098,6.588241945819833,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q03,Dilute three,0.00013333333333333334,W04,22.88296401500702,27.41885370016098,6.588241945819833,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q03,Dilute three,0.00013333333333333334,W05,19.685897529125214,27.41885370016098,6.588241945819833,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q04,Other nine,0.0016666666666666668,W01,14.472221136093138,11.804258704185486,1.9333483959318436,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q04,Other nine,0.0016666666666666668,W02,12.886210083961485,11.804258704185486,1.9333483959318436,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q04,Other nine,0.0016666666666666668,W03,11.494708955287933,11.804258704185486,1.9333483959318436,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q04,Other nine,0.0016666666666666668,W04,10.653650313615799,11.804258704185486,1.9333483959318436,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q04,Other nine,0.0016666666666666668,W05,9.51450303196907,11.804258704185486,1.9333483959318436,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q05,Other nine,0.08333333333333333,W01,6.971781402826309,7.168899387121201,0.24415669760513595,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q05,Other nine,0.08333333333333333,W02,7.287711650133133,7.168899387121201,0.24415669760513595,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q05,Other nine,0.08333333333333333,W03,7.27116271853447,7.168899387121201,0.24415669760513595,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q05,Other nine,0.08333333333333333,W04,6.861342042684555,7.168899387121201,0.24415669760513595,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q05,Other nine,0.08333333333333333,W05,7.452499121427536,7.168899387121201,0.24415669760513595,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q06,Other nine,0.08333333333333333,W01,7.383093535900116,7.091899141669273,0.35950525464396343,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q06,Other nine,0.08333333333333333,W02,7.057328224182129,7.091899141669273,0.35950525464396343,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q06,Other nine,0.08333333333333333,W03,7.409881055355072,7.091899141669273,0.35950525464396343,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q06,Other nine,0.08333333333333333,W04,6.517552360892295,7.091899141669273,0.35950525464396343,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q06,Other nine,0.08333333333333333,W05,7.091640532016755,7.091899141669273,0.35950525464396343,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q07,Other nine,0.08333333333333333,W01,7.478502839803696,7.0523181557655334,0.2573996971460675,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q07,Other nine,0.08333333333333333,W02,7.05275446176529,7.0523181557655334,0.2573996971460675,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q07,Other nine,0.08333333333333333,W03,6.89605012536049,7.0523181557655334,0.2573996971460675,5,5.490948632359505,9.245739877223969,0.018518518518518517
