world,series,dissociation_percent,source_observation_min_percent,source_observation_max_percent
W01,Withheld reference,71.60339117050171,5.490948632359505,9.245739877223969
W01,Opaque,69.89999999999999,5.490948632359505,9.245739877223969
W01,Aligned,10.4,5.490948632359505,9.245739877223969
W01,MisIndexed,10.9245,5.490948632359505,9.245739877223969
W02,Withheld reference,65.46313166618347,5.490948632359505,9.245739877223969
W02,Opaque,62.9,5.490948632359505,9.245739877223969
W02,Aligned,8.04,5.490948632359505,9.245739877223969
W02,MisIndexed,8.06,5.490948632359505,9.245739877223969
W03,Withheld reference,57.967978715896606,5.490948632359505,9.245739877223969
W03,Opaque,56.3,5.490948632359505,9.245739877223969
W03,Aligned,11.0,5.490948632359505,9.245739877223969
W03,MisIndexed,46.0,5.490948632359505,9.245739877223969
W04,Withheld reference,51.73070788383484,5.490948632359505,9.245739877223969
W04,Opaque,52.0,5.490948632359505,9.245739877223969
W04,Aligned,7.24,5.490948632359505,9.245739877223969
W04,MisIndexed,9.62,5.490948632359505,9.245739877223969
W05,Withheld reference,44.796587228775024,5.490948632359505,9.245739877223969
W05,Opaque,41.3,5.490948632359505,9.245739877223969
W05,Aligned,7.9,5.490948632359505,9.245739877223969
W05,MisIndexed,6.81,5.490948632359505,9.245739877223969
