session,batch,recovery_pct,purity_pct,fines_pct,quality_feasible,best_feasible_recovery_pct
C-W05-B12-E-Aligned,1,34.69969034194946,98.51447939872742,38.386768102645874,True,34.69969034194946
C-W05-B12-E-Aligned,2,30.704450607299805,98.17309379577637,37.56335973739624,True,34.69969034194946
C-W05-B12-E-Aligned,3,31.355249881744385,98.86366724967957,40.26156663894653,True,34.69969034194946
C-W05-B12-E-Aligned,4,37.74482309818268,100.0,35.09121835231781,True,37.74482309818268
C-W05-B12-E-Aligned,5,44.76246535778046,97.81145453453064,81.87475800514221,False,37.74482309818268
C-W05-B12-E-Aligned,6,45.87174654006958,99.86737966537476,42.14556813240051,True,45.87174654006958
C-W05-B12-E-Aligned,7,31.30277991294861,96.7123806476593,85.06959080696106,False,45.87174654006958
C-W05-B12-E-Aligned,8,49.15219843387604,97.87067174911499,39.54204618930817,True,49.15219843387604
C-W05-B12-E-Aligned,9,49.84746873378754,98.13565611839294,42.41998493671417,True,49.84746873378754
C-W05-B12-E-Aligned,10,51.173585653305054,97.75444865226746,45.66554129123688,True,51.173585653305054
C-W05-B12-E-Aligned,11,50.26983022689819,99.28745031356812,44.29484307765961,True,51.173585653305054
C-W05-B12-E-Aligned,12,50.43915510177612,99.37862157821655,36.22891008853912,True,51.173585653305054
C-W05-B24-E-Aligned,1,37.52086162567139,98.60137701034546,53.74366044998169,False,
C-W05-B24-E-Aligned,2,39.76650536060333,97.71736860275269,100.0,False,
C-W05-B24-E-Aligned,3,23.245182633399963,98.50836992263794,99.4870126247406,False,
C-W05-B24-E-Aligned,4,47.72065281867981,100.0,100.0,False,
C-W05-B24-E-Aligned,5,38.11340630054474,97.52860069274902,100.0,False,
C-W05-B24-E-Aligned,6,40.840089321136475,99.87807869911194,100.0,False,
C-W05-B24-E-Aligned,7,40.23328721523285,97.94034957885742,52.693408727645874,False,
C-W05-B24-E-Aligned,8,40.84624946117401,97.97373414039612,52.821969985961914,False,
C-W05-B24-E-Aligned,9,46.96561396121979,98.27200174331665,100.0,False,
C-W05-B24-E-Aligned,10,36.4954799413681,97.66750931739807,100.0,False,
C-W05-B24-E-Aligned,11,42.1330988407135,99.35006499290466,71.23945355415344,False,
C-W05-B24-E-Aligned,12,39.91652429103851,99.73495602607727,100.0,False,
C-W05-B24-E-Aligned,13,38.16886842250824,98.07656407356262,53.618162870407104,False,
C-W05-B24-E-Aligned,14,38.661766052246094,96.4123785495758,55.14177083969116,False,
C-W05-B24-E-Aligned,15,38.3515328168869,98.72069954872131,55.26936054229736,False,
C-W05-B24-E-Aligned,16,38.31082880496979,97.7238416671753,52.79213786125183,False,
C-W05-B24-E-Aligned,17,31.78584575653076,99.781334400177,69.97115015983582,False,
C-W05-B24-E-Aligned,18,42.2633022069931,99.16101694107056,100.0,False,
C-W05-B24-E-Aligned,19,49.014490842819214,97.55874872207642,52.841466665267944,False,
C-W05-B24-E-Aligned,20,52.87037491798401,99.51504468917847,21.497881412506104,True,52.87037491798401
C-W05-B24-E-Aligned,21,55.26928901672363,99.2786705493927,17.743830382823944,True,55.26928901672363
C-W05-B24-E-Aligned,22,56.95856809616089,100.0,11.755625158548355,True,56.95856809616089
C-W05-B24-E-Aligned,23,56.98866844177246,100.0,14.235346019268036,True,56.98866844177246
C-W05-B24-E-Aligned,24,56.788647174835205,100.0,17.802177369594574,True,56.98866844177246
