budget,arm,campaigns,mean_bias_pp,mean_centred_rmse_pp,mean_reference_sd_pp,mean_prediction_sd_pp,mean_mae_pp,pooled_squared_bias_fraction,median_campaign_bias_fraction,negative_bias_campaigns,centred_error_exceeds_reference_variation
,All,30,-4.289480476850395,1.889274952687529,0.5976994277168022,1.9677341087420666,4.354307472049,0.8764746180232554,0.7763018767326435,30,29
12,Opaque,5,-0.8064249212948397,0.9702908767211718,0.5976994277168022,1.0313729048809497,0.9518562471535441,0.4531597754877425,0.3194387207369908,5,5
12,Aligned,5,-4.919758254628173,1.8365849979335689,0.5976994277168022,1.790583458008869,4.969487341848855,0.89838360698208,0.8445617099722712,5,5
12,MisIndexed,5,-9.166424921294839,2.8432059622802233,0.5976994277168022,2.976666930026787,9.166424921294839,0.9133589714838831,0.9072141115002831,5,5
24,Opaque,5,-1.8164249212948398,1.6824988059685844,0.5976994277168022,1.6487803029436485,1.9748425706506274,0.5742592908491297,0.44966473809763285,5,5
24,Aligned,5,-3.9480915879615055,1.796707149435986,0.5976994277168022,1.9834211933616075,3.983475496717962,0.855687107773895,0.7299781872142207,5,5
24,MisIndexed,5,-5.079758254628173,2.20636192378564,0.5976994277168022,2.3755798632305374,5.079758254628173,0.8529121299735348,0.8012995014920183,5,4
