id,world,arm,budget,conforming,queries,bias_pp,mae_pp,mse_pp2,squared_bias_pp2,centred_mse_pp2,centred_rmse_pp,reference_sd_pp,prediction_sd_pp,bias_fraction_of_mse,underestimated_queries
C-W01-B12-E-Opaque,W01,Opaque,12,True,12,-1.2475122399073466,1.3552582538474431,3.3444294498164617,1.556286788718645,1.7881426610978166,1.337214515737029,0.5934843211455728,1.3616778865306838,0.465337006527093,10
C-W01-B12-E-Aligned,W01,Aligned,12,True,12,-9.830845573240676,9.830845573240676,106.28511734094265,96.6455246849058,9.639592656036838,3.104769340230742,0.5934843211455728,3.0641293851417064,0.9093043984218896,12
C-W01-B12-E-MisIndexed,W01,MisIndexed,12,True,12,-10.414178906574012,10.414178906574012,118.54609558103976,108.45512229813107,10.090973282908683,3.176629232836071,0.5934843211455728,3.522743564641375,0.9148772194187504,12
C-W01-B24-E-Opaque,W01,Opaque,24,True,12,-1.7391789065740126,1.7730203888803548,7.723810921706581,3.0247432690719784,4.699067652634602,2.167733298317531,0.5934843211455728,1.8781455096864974,0.3916128061306373,11
C-W01-B24-E-Aligned,W01,Aligned,24,True,12,-1.4141789065740125,1.495183626485703,4.22352174057767,1.9999019797988693,2.2236197607788,1.4911806600069626,0.5934843211455728,1.7057907908715593,0.47351525637591096,11
C-W01-B24-E-MisIndexed,W01,MisIndexed,24,True,12,-9.497512239907344,9.497512239907344,98.85991962566915,90.20273874718984,8.657180878479315,2.9423087666795467,0.5934843211455728,3.2659863237109037,0.9124298207882473,12
C-W02-B24-E-Aligned,W02,Aligned,24,True,12,-3.8489902625725136,3.8489902625725136,20.29475168006695,14.814726041378028,5.480025638688914,2.3409454582900717,0.5956567278110206,2.596739408480479,0.7299781872142207,12
C-W02-B24-E-MisIndexed,W02,MisIndexed,24,True,12,-3.8073235959058476,3.8073235959058476,18.89528708140833,14.495712963941434,4.3995741174669005,2.097516178118038,0.5956567278110206,1.9270551799745277,0.767160239560701,12
C-W02-B24-E-Opaque,W02,Opaque,24,True,12,-3.0156569292391815,3.0156569292391815,10.512002886640222,9.094186714868291,1.41781617177193,1.1907208622393117,0.5956567278110206,1.3819269959814156,0.8651240694031921,12
C-W02-B12-E-Aligned,W02,Aligned,12,True,12,-3.515656929239181,3.515656929239181,16.065750078988202,12.35984364410747,3.705906434880733,1.9250730985811246,0.5956567278110206,1.6562172428626474,0.7693287635709241,12
C-W02-B12-E-MisIndexed,W02,MisIndexed,12,True,12,-4.2656569292391815,4.2656569292391815,20.7231390364137,18.19582903796624,2.527309998447455,1.589751552428069,0.5956567278110206,1.724013405464765,0.8780440552945868,12
C-W02-B12-E-Opaque,W02,Opaque,12,False,12,-1.432323595905848,1.432323595905848,3.6406226388263874,2.051550883388659,1.5890717554377287,1.260583894644751,0.5956567278110206,1.4142135623730963,0.5635164879516349,12
C-W03-B12-E-MisIndexed,W03,MisIndexed,12,True,12,-8.709582857158809,8.709582857158809,88.69567267288993,75.8568335457146,12.838839127175373,3.5831325857656138,0.612782846326575,3.41158158174312,0.8552484158440847,12
C-W03-B12-E-Opaque,W03,Opaque,12,True,12,-0.4429161904921421,0.590793581992959,0.6773999632325349,0.19617475180007152,0.4812252114324634,0.6937039796861939,0.612782846326575,0.763762615825974,0.28959959026854787,9
C-W03-B12-E-Aligned,W03,Aligned,12,True,12,-3.3762495238254773,3.3762495238254773,13.497013554528799,11.399060847131764,2.0979527073970368,1.4484311193139414,0.612782846326575,1.2133516482134192,0.8445617099722712,12
C-W03-B24-E-MisIndexed,W03,MisIndexed,24,True,12,-0.9595828571588092,0.9595828571588092,1.1491324505238514,0.9207992597530635,0.22833319077078768,0.4778422237211648,0.612782846326575,0.49300664859163507,0.8012995014920183,12
C-W03-B24-E-Opaque,W03,Opaque,24,True,12,-2.7929161904921425,2.887779145776695,13.709085883616325,7.800380847113141,5.908705036503185,2.430782803235037,0.612782846326575,2.4195385234929945,0.5689935064478183,11
C-W03-B24-E-Aligned,W03,Aligned,24,True,12,-6.459582857158806,6.459582857158806,46.15550609710026,41.72621068849993,4.4292954086003435,2.1045891305906586,0.612782846326575,2.28977194400568,0.904035384223019,12
C-W04-B24-E-Opaque,W04,Opaque,24,True,12,-0.6346610301820617,1.093746396609959,3.0529004466127847,0.40279462323175586,2.6501058233810286,1.627914562678591,0.5869846915158566,1.6438437341250618,0.13193834200478413,6
C-W04-B24-E-Aligned,W04,Aligned,24,True,12,-1.5346610301820627,1.6305758540526571,3.321456261553537,2.3551844775594697,0.9662717839940668,0.9829912430912429,0.5869846915158566,1.0624918300339494,0.709081888213059,11
C-W04-B24-E-MisIndexed,W04,MisIndexed,24,True,12,-8.001327696848728,8.001327696848728,78.96810297540684,64.02124491235855,14.94685806304829,3.866116664438399,0.5869846915158566,4.2130748865881795,0.8107228425165132,12
C-W04-B12-E-Opaque,W04,Opaque,12,True,12,-0.43466103018206154,0.7299288416987588,0.9407119264609334,0.188930211158931,0.7517817153020023,0.8670534673836454,0.5869846915158566,0.8399735445569443,0.2008374783444154,7
C-W04-B12-E-Aligned,W04,Aligned,12,True,12,-7.001327696848724,7.001327696848724,51.660104131470256,49.018589518661074,2.641514612809187,1.6252737039677925,0.5869846915158566,1.8484227510682345,0.9488674160221053,12
C-W04-B12-E-MisIndexed,W04,MisIndexed,12,True,12,-10.709661030182062,10.709661030182062,126.42753009179192,114.69683938140031,11.73069071039164,3.4250095927444697,0.5869846915158566,3.648391959327959,0.9072141115002831,12
C-W05-B12-E-Aligned,W05,Aligned,12,True,12,-0.8747115499868008,1.1233569860902146,1.9301765744636512,0.7651202956803115,1.1650562787833394,1.0793777275742442,0.5995885517849855,1.170796262758338,0.3963991200612927,11
C-W05-B12-E-MisIndexed,W05,MisIndexed,12,True,12,-11.733044883320133,11.733044883320133,143.62529792101375,137.66434223400475,5.960955687009004,2.4415068476268917,0.5995885517849855,2.5766041389567174,0.95849647817415,12
C-W05-B12-E-Opaque,W05,Opaque,12,True,12,-0.47471154998680043,0.6509769623227117,0.7054594232375881,0.22535105569087052,0.4801083675467176,0.6928985261542396,0.5995885517849855,0.7772369151180504,0.3194387207369908,10
C-W05-B24-E-Aligned,W05,Aligned,24,True,12,-6.483044883320131,6.483044883320131,46.28926215376681,42.02987095914334,4.259391194623491,2.0638292552009943,0.5995885517849855,2.26231199341637,0.9079831693908981,12
C-W05-B24-E-MisIndexed,W05,MisIndexed,24,True,12,-3.133044883320133,3.133044883320133,12.531959232123967,9.815970240898467,2.7159889912254993,1.6480257859710505,0.5995885517849855,1.9787762772874413,0.7832749898943628,12
C-W05-B24-E-Opaque,W05,Opaque,24,True,12,-0.8997115499868008,1.1040099927469469,1.8001875721993885,0.8094808731796516,0.9907066990197366,0.9953425033724506,0.5995885517849855,0.9204467514322726,0.44966473809763285,10
