method,beta,mean_flow_conversion,mean_risk_exceedance_rate,mean_cost_per_experiment,run_count
random,random,0.033809807861495456,0.19,0.4724706472456456,5
safe_beta_1_0,1.0,0.05445571851880231,0.05500000000000001,0.4236038765311241,5
safe_beta_1_5,1.5,0.055497441282053236,0.045,0.42754111140966417,5
safe_beta_2_0,2.0,0.05756057509192033,0.02,0.39775605157017707,5
