training_steps,mean_episode_best_score,mean_final_score,invalid_action_rate
20000,0.012942697066737128,0.003996574766851083,0.0025
40000,0.01732353738071784,0.004273518896219647,0.0
60000,0.014337572278402929,0.00393852198185475,0.0
80000,0.023781835321277582,0.005015046646158063,0.0
100000,0.010551688916576324,0.0031348201434443766,0.0
