model,condition,scheduled,completed,wall_s,usage,prompt_bytes,prompt_available
deepseek,none,20,20,479.783,"{'input_tokens': 160559, 'cached_input_tokens': 81920, 'cache_write_input_tokens': 0, 'output_tokens': 49828, 'reasoning_output_tokens': 49648}",173750,20
deepseek,raw,20,20,626.3670000000001,"{'input_tokens': 237824, 'cached_input_tokens': 81920, 'cache_write_input_tokens': 0, 'output_tokens': 96412, 'reasoning_output_tokens': 96232}",419450,20
deepseek,L,20,20,265.659,"{'input_tokens': 161589, 'cached_input_tokens': 81920, 'cache_write_input_tokens': 0, 'output_tokens': 43485, 'reasoning_output_tokens': 43305}",176073,20
deepseek,F,20,20,306.181,"{'input_tokens': 162158, 'cached_input_tokens': 81920, 'cache_write_input_tokens': 0, 'output_tokens': 49812, 'reasoning_output_tokens': 49632}",177554,20
gpt,none,20,20,187.107,"{'input_tokens': 229545, 'cached_input_tokens': 87552, 'cache_write_input_tokens': 0, 'output_tokens': 1513, 'reasoning_output_tokens': 1133}",173750,20
gpt,raw,20,20,302.686,"{'input_tokens': 303401, 'cached_input_tokens': 87552, 'cache_write_input_tokens': 0, 'output_tokens': 5823, 'reasoning_output_tokens': 5443}",419450,20
gpt,L,20,20,263.661,"{'input_tokens': 230512, 'cached_input_tokens': 58368, 'cache_write_input_tokens': 0, 'output_tokens': 4260, 'reasoning_output_tokens': 3880}",175923,20
gpt,F,20,20,291.172,"{'input_tokens': 231133, 'cached_input_tokens': 87552, 'cache_write_input_tokens': 0, 'output_tokens': 4411, 'reasoning_output_tokens': 4031}",177554,20
