model,locus,matched_law_count,matched_prediction_mae,law_mae
deepseek,A_E,75,0.19092426527317322,0.2764649984687355
deepseek,A_P,30,0.1426507163736035,0.2206441285512312
deepseek,A_S,30,0.13848036591315194,0.15521869192905272
codex,A_E,72,0.17161434694233238,0.17605304546709885
codex,A_P,30,0.14070505638271977,0.19324334139998156
codex,A_S,27,0.15570668078290784,0.15342911412647992
