model,condition,scheduled,completed,mean_failure_aware_regret,completed_only_regret,near_optimal_count,top1_count
deepseek,L-A,20,20,0.014358668774366378,0.014358668774366378,13,10
deepseek,L-X,20,20,0.015020105987787247,0.015020105987787247,12,9
deepseek,F-A,20,20,0.004252544045448304,0.004252544045448304,14,10
deepseek,F-X,20,20,0.004252544045448304,0.004252544045448304,14,10
gpt,L-A,20,20,0.004252544045448304,0.004252544045448304,14,10
gpt,L-X,20,20,0.004252544045448304,0.004252544045448304,14,10
gpt,F-A,20,20,0.004252544045448304,0.004252544045448304,14,10
gpt,F-X,20,20,0.004252544045448304,0.004252544045448304,14,10
