model,model_label,contrast,paired_stratum_count,mean_regret_difference,interval_low,interval_high,mean_top1_difference
deepseek,DeepSeek high,autonomous_exploration_minus_no_evidence,42,-0.12144717611441103,-0.26074713342555,0.022530867918833405,0.16666666666666666
deepseek,DeepSeek high,yoked_evidence_minus_no_evidence,42,0.4281543570481531,0.3183678455360746,0.5143373630327397,-0.047619047619047616
deepseek,DeepSeek high,learned_law_only_minus_no_evidence,42,-0.02668583416118139,-0.15626369497830053,0.11235295930416701,0.11904761904761904
deepseek,DeepSeek high,autonomous_exploration_minus_yoked_evidence,42,-0.5496015331625641,-0.6641816732973606,-0.4282531664171294,0.21428571428571427
codex,Codex medium,autonomous_exploration_minus_no_evidence,26,-0.13791839943760498,-0.3451853004982558,0.11032094066080966,0.3076923076923077
codex,Codex medium,yoked_evidence_minus_no_evidence,26,0.04607102510502556,-0.18700410061600653,0.2957414286578123,0.11538461538461539
codex,Codex medium,learned_law_only_minus_no_evidence,26,0.09704843617405376,-0.1214684760343408,0.31834127388887906,-0.07692307692307693
codex,Codex medium,autonomous_exploration_minus_yoked_evidence,26,-0.18398942454263054,-0.3219327051985291,-0.05191546557744103,0.19230769230769232
