model,model_label,locus,estimate,lower_bound,p_value,passed
deepseek,DeepSeek-v4-flash high,A_E,-0.21377186426624906,-0.35921933596055644,0.9901475561529881,False
deepseek,DeepSeek-v4-flash high,A_P,0.03255955357175941,-0.006345437674060407,0.07912974562391352,False
deepseek,DeepSeek-v4-flash high,A_S,-0.22407438446994793,-0.6285748347670002,1.0,False
codex,GPT-5.6-sol medium,A_E,-0.061895325764811285,-0.13975439071702633,0.9072318688941455,False
codex,GPT-5.6-sol medium,A_P,-0.11430833627300731,-0.3392269199931031,1.0,False
codex,GPT-5.6-sol medium,A_S,-0.4399003599545624,-0.6913392617202743,1.0,False
