law_mae_threshold,adequate_law_correct_action,adequate_law_wrong_action,inadequate_law_correct_action,inadequate_law_wrong_action
0.05,0,1,11,30
0.075,0,5,11,26
0.1,0,6,11,25
0.15,1,10,10,21
0.2,5,17,6,14
0.25,7,22,4,9
0.3,9,25,2,6
