model,model_label,locus,scheduled_cell_count,terminal_completion_rate,prediction_scored_count,mean_prediction_improvement,mean_effective_final_error,law_evaluated_count,mean_law_mae,mean_law_compression_loss,blind_gain_evaluable_count,mean_blind_gain,blind_better_count,blind_equivalent_count,blind_worse_count
deepseek,DeepSeek-v4-flash high,A_E,75,0.9066666666666666,75,0.10167286621785496,0.19092426527317324,75,0.2764649984687355,0.0855407331955623,68,1.8350943748920076e-05,1,67,0
deepseek,DeepSeek-v4-flash high,A_P,30,0.8666666666666667,30,0.06238034193928664,0.14265071637360346,30,0.2206441285512312,0.07799341217762772,26,0.0,0,26,0
deepseek,DeepSeek-v4-flash high,A_S,30,0.9,30,0.2226690970911326,0.13848036591315194,30,0.15521869192905272,0.016738326015900785,27,-0.004386665499162439,0,26,1
codex,GPT-5.6-sol medium,A_E,75,0.96,75,0.13042058350843225,0.17360838869244116,72,0.17605304546709885,0.00443869852476647,72,0.0,0,72,0
codex,GPT-5.6-sol medium,A_P,30,0.9333333333333333,30,0.05915721003048289,0.14070505638271977,30,0.19324334139998156,0.05253828501726179,28,0.0,0,28,0
codex,GPT-5.6-sol medium,A_S,30,0.8666666666666667,30,0.2129597609256296,0.15165239512405917,27,0.15342911412647992,-0.0022775666564279146,26,-0.0006465076637999329,0,25,1
