attempted_sessions,cached_input_tokens,input_tokens,model,output_tokens,provider_error_turns,reasoning_output_tokens_reported,reasoning_usage_available_turns,tool,tool_attempts,tool_compute_seconds,tool_rejections,turns,usage_available_turns,usage_missing_turns,usage_potentially_incomplete_turns,wall_seconds
30,139520,1025098,gpt,161123,1,125738,59,off,0,0,0,60,59,1,1,3085.9519999998156
30,115840,1055087,gpt,185753,0,149858,60,on,0,0,0,60,60,0,0,3517.2320000000764
30,1245568,2202939,deepseek,2375119,1,2335480,59,off,0,0,0,60,59,1,1,13379.733999999473
30,2901376,3968044,deepseek,2430203,0,2380394,60,on,63,0.0266784003470093,9,60,60,0,0,13636.250999999233
