model,information,scheduled,joint_recovery,top1,post_mae_mean,post_mae_available_n,mean_normalized_regret_failure_aware
deepseek,original,20,3,6,0.046536640182921675,18,0.15089837845865683
deepseek,complete,20,17,4,0.006080573241658742,17,0.2426287187694247
gpt,original,20,6,5,0.03870921683427603,20,0.07097373346566695
gpt,complete,20,20,12,0.006055020977996615,20,0.007481132924203924
