block,evidence_role,planned,passed,scientifically_rejected,not_started,participant_sessions
w2_51_96_grid_fresh_formal_preparation,fresh_formal_preparation,15,7,1,7,0
w2_52_320_grid_exposed_construction,exposed_construction_only,7,7,0,0,0
w2_52_320_grid_fresh_prospective,fresh_prospective_qualification,15,0,1,14,0
