model,condition,scheduled,completed,mean_failure_aware_regret,completed_only_regret,near_optimal_count,top1_count
deepseek,none,20,20,0.1526988155208528,0.1526988155208528,3,3
deepseek,raw,20,20,0.01642579697072506,0.01642579697072506,17,15
deepseek,L,20,20,0.011574664711952209,0.011574664711952209,11,9
deepseek,F,20,20,0.02308746352791786,0.02308746352791786,12,10
gpt,none,20,20,0.14184031840413808,0.14184031840413808,10,10
gpt,raw,20,20,0.006048931181430817,0.006048931181430817,13,11
gpt,L,20,20,0.008502599596977235,0.008502599596977235,12,11
gpt,F,20,20,0.006091204285621643,0.006091204285621643,12,10
