arm,completed,joint_recovery,model,scheduled,tool
opaque,9,0,gpt,10,off
aligned_nominal,10,6,gpt,10,off
misindexed_nominal,10,0,gpt,10,off
opaque,10,0,gpt,10,on
aligned_nominal,10,7,gpt,10,on
misindexed_nominal,10,0,gpt,10,on
opaque,10,0,deepseek,10,off
aligned_nominal,9,2,deepseek,10,off
misindexed_nominal,10,0,deepseek,10,off
opaque,9,0,deepseek,10,on
aligned_nominal,10,2,deepseek,10,on
misindexed_nominal,10,0,deepseek,10,on
