model,model_label,condition,row_count,completed_count,mean_failure_aware_normalized_regret,top1_rate,within_0_01_rate
deepseek,DeepSeek high,autonomous_exploration,42,42,0.29740158313647164,0.2619047619047619,0.30952380952380953
deepseek,DeepSeek high,learned_law_only,42,39,0.3921629250897013,0.21428571428571427,0.21428571428571427
deepseek,DeepSeek high,no_evidence,42,41,0.41884875925088266,0.09523809523809523,0.3333333333333333
deepseek,DeepSeek high,yoked_evidence,42,10,0.8470031162990358,0.047619047619047616,0.07142857142857142
codex,Codex medium,autonomous_exploration,26,26,0.27896102717775195,0.5,0.5384615384615384
codex,Codex medium,learned_law_only,26,26,0.5139278627894106,0.11538461538461539,0.15384615384615385
codex,Codex medium,no_evidence,26,26,0.41687942661535693,0.19230769230769232,0.23076923076923078
codex,Codex medium,yoked_evidence,26,24,0.46295045172038246,0.3076923076923077,0.3076923076923077
