block,configuration,mean_primary_contrast,positive_world_count,world_count,exact_one_sided_p
A-P,DeepSeek-v4-flash high,0.03091777986884116,3,5,0.125
A-P,GPT-5.6-sol medium,0.06022254858219625,5,5,0.03125
A-S B2,DeepSeek-v4-flash high,0.0645335142183304,3,5,0.125
A-S B2,GPT-5.6-sol medium,0.09146227348486284,4,5,0.0625
A-S B2,DeepSeek-v4-flash low,-0.040474913884600006,2,5,0.8125
