cluster_id,task,nearest_public_regret,uniform_random_expected_regret,candidate_score_min,candidate_score_max
electrochemical-conversion--w01,electrochemical-conversion,0.0,0.19356177560985088,0.0,0.39046230912208557
electrochemical-conversion--w02,electrochemical-conversion,0.0,0.17924327380023897,0.013901108875870705,0.3820595145225525
electrochemical-conversion--w03,electrochemical-conversion,0.0,0.19687774870544672,0.0,0.4119929075241089
electrochemical-conversion--w04,electrochemical-conversion,0.022129058837890625,0.1603903928771615,0.0843682661652565,0.3989296853542328
electrochemical-conversion--w05,electrochemical-conversion,0.0,0.132677068002522,0.11993526667356491,0.3764229416847229
reaction-to-crystallization--w01,reaction-to-crystallization,0.012278050184249878,0.048941563814878464,0.3791085481643677,0.48881158232688904
reaction-to-crystallization--w02,reaction-to-crystallization,0.0007150471210479736,0.042698245495557785,0.3435940444469452,0.4512341320514679
reaction-to-crystallization--w03,reaction-to-crystallization,0.0,0.04502950981259346,0.3074353039264679,0.4026719331741333
reaction-to-crystallization--w04,reaction-to-crystallization,0.0,0.07301422953605652,0.18459437787532806,0.36011749505996704
reaction-to-crystallization--w05,reaction-to-crystallization,0.0003275275230407715,0.03846659138798714,0.4076954424381256,0.48927709460258484
