model,model_label,measure,count,denominator,rate
deepseek,DeepSeek-v4-flash high,Completed,17,30,0.5666666666666667
deepseek,DeepSeek-v4-flash high,Joint law recovery,0,30,0.0
deepseek,DeepSeek-v4-flash high,Top-1 action,0,30,0.0
deepseek,DeepSeek-v4-flash high,Useful action gain,0,18,0.0
codex,GPT-5.6-sol medium,Completed,30,30,1.0
codex,GPT-5.6-sol medium,Joint law recovery,5,30,0.16666666666666666
codex,GPT-5.6-sol medium,Top-1 action,2,30,0.06666666666666667
codex,GPT-5.6-sol medium,Useful action gain,0,18,0.0
