model,model_label,scheduled_cell_count,terminal_completion_rate,prediction_scored_count,mean_prediction_improvement,mean_effective_final_error,law_evaluated_count,mean_law_mae,mean_law_compression_loss,blind_gain_evaluable_count,mean_blind_gain,blind_better_count,blind_equivalent_count,blind_worse_count
deepseek,DeepSeek-v4-flash high,135,0.8962962962962963,135,0.1198292454611237,0.1685426101043752,135,0.23711673703380504,0.06857412692942982,121,-0.0009685297876236306,1,119,1
codex,GPT-5.6-sol medium,135,0.9333333333333333,135,0.13292631771715402,0.16141742738619597,129,0.17531554726391876,0.01421891895021307,126,-0.0001334063433237957,0,125,1
